stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,level_id
000011296504,NA,Girod Kapellenweg,NA,50.451208,7.911265,0,NA,0,NA,NA
000011299206,NA,Großholbach Feuerwehr,NA,50.446924,7.892302,0,NA,0,NA,NA
000011299407,NA,Großmaischeid Kirche,NA,50.505242,7.633434,0,NA,0,NA,NA
000011299704,NA,Guckheim Gemeindeverwaltung,NA,50.52922,7.947611,0,NA,0,NA,NA
000011301503_G,NA,"Gunderath, Heilbachsee",NA,50.255097,6.980889,0,NA,0,NA,NA
000011301504,NA,"Gunderath, Heilbachsee",NA,50.254977,6.980862,0,NA,0,NA,NA
000011302005,NA,Hachenburg Abzw. Hachenburg,NA,50.655948,7.800943,0,NA,0,NA,NA
000011302209,NA,Hachenburg Neumarkt,NA,50.661716,7.821335,0,NA,0,NA,NA
000011306006,NA,Hartenfels Dammweg,NA,50.572195,7.784926,0,NA,0,NA,NA
000011310004,NA,Heilberscheid Hettensteinstraße,NA,50.412349,7.894197,0,NA,0,NA,NA
000011310103,NA,Heiligenroth Abzw. Heiligenroth,NA,50.4515,7.846335,0,NA,0,NA,NA
000011310104,NA,Heiligenroth Abzw. Heiligenroth,NA,50.451472,7.846506,0,NA,0,NA,NA
000011310408,NA,Helferskirchen Feuerwehrhaus,NA,50.512452,7.814139,0,NA,0,NA,NA
000011312603,NA,Herschbach (Oberwesterwald) L300,NA,50.506207,7.927435,0,NA,0,NA,NA
000011312805,NA,Herschbach (b. Selters) Wiedstraße,NA,50.571636,7.733479,0,NA,0,NA,NA
000011312902,NA,Herschbach (b. Selters) Am Hammelsbach,NA,50.580147,7.735923,0,NA,0,NA,NA
000011313005,NA,Herschbach (b. Selters) Obertor,NA,50.575127,7.741034,0,NA,0,NA,NA
000011314106,NA,Hilgert Zur guten Quelle,NA,50.454406,7.686417,0,NA,0,NA,NA
000011314208,NA,Hilgert Industriegebiet,NA,50.44987,7.679482,0,NA,0,NA,NA
000011314307,NA,Hilgert Sporthalle,NA,50.453044,7.692435,0,NA,0,NA,NA
000011314409,NA,Hilgert Gemeindeverwaltung,NA,50.455681,7.688492,0,NA,0,NA,NA
000011317505,NA,Höchstenbach Kirche,NA,50.631794,7.742804,0,NA,0,NA,NA
000011318607,NA,Höhr-Grenzhausen Juchaczstraße,NA,50.426778,7.676472,0,NA,0,NA,NA
000011318807,NA,Höhr-Grenzhausen Bahnhofstraße,NA,50.435299,7.668001,0,NA,0,NA,NA
